City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ladário,90,BR,1595626238,40,-19,-57.6,86,2.24
1,Ambulu,97,ID,1595626238,86,-8.35,113.61,68.77,3.06
2,Ushuaia,90,AR,1595626232,94,-54.8,-68.3,32,16.11
3,San Quintín,0,MX,1595626238,63,30.48,-115.95,70.61,11.41
4,Pevek,94,RU,1595626238,68,69.7,170.31,46.24,8.72
5,Hilo,90,US,1595626238,69,19.73,-155.09,82.4,12.75
6,Presidencia Roque Sáenz Peña,100,AR,1595626238,88,-26.79,-60.44,43.68,8.03
7,Jalu,0,LY,1595626037,49,29.03,21.55,79.59,16.49
8,Novikovo,9,RU,1595626238,79,51.15,37.89,55.69,1.92
9,Souillac,75,MU,1595626239,56,-20.52,57.52,68,16.11
10,Barra de Tecoanapa,1,MX,1595626239,64,16.52,-98.75,87.01,10.02
11,Betioky,0,MG,1595626239,60,-23.72,44.38,59.76,10.69
12,Waipawa,0,NZ,1595626239,81,-41.41,175.52,46.4,3.36
13,Atuona,28,PF,1595626032,79,-9.8,-139.03,79.16,20.45
14,Kruisfontein,0,ZA,1595626239,26,-34,24.73,62.64,9.48
15,Portland,90,US,1595626239,55,45.52,-122.68,69.01,6.93
16,Kapaa,20,US,1595626239,74,22.08,-159.32,82.4,11.41
17,Laguna,1,US,1595626239,37,38.42,-121.42,89.01,6.93
18,Tasiilaq,79,GL,1595626034,81,65.61,-37.64,42.8,9.17
19,Taltal,0,CL,1595626240,53,-25.4,-70.48,57.15,0.36
20,Albany,50,US,1595626240,39,42.6,-73.97,89.01,2.75
21,Lucea,20,JM,1595626240,70,18.45,-78.17,88,16.11
22,Rikitea,26,PF,1595626240,58,-23.12,-134.97,68.72,13.4
23,Avarua,79,CK,1595626044,61,-21.21,-159.78,77,5.82
24,Maceió,40,BR,1595626240,73,-9.67,-35.74,77,6.93
25,Oildale,1,US,1595626240,23,35.42,-119.02,96.01,8.05
26,Talnakh,0,RU,1595626036,81,69.49,88.4,48.2,6.71
27,Hermanus,0,ZA,1595626241,85,-34.42,19.23,50,2.37
28,Yar-Sale,5,RU,1595626241,86,66.83,70.83,50.92,8.46
29,Cherskiy,10,RU,1595626024,60,68.75,161.3,68.88,0.65
30,Carnarvon,0,AU,1595626241,81,-24.87,113.63,51.8,6.93
31,Hobyo,78,SO,1595626241,75,5.35,48.53,77.22,26.49
32,Vostok,50,RU,1595626241,94,46.49,135.88,61.11,1.52
33,Port Elizabeth,0,ZA,1595626241,66,-33.92,25.57,51.8,4.7
34,Natal,36,BR,1595626241,74,-5.79,-35.21,78.8,14.99
35,Busselton,87,AU,1595626241,77,-33.65,115.33,45,14.74
36,Trairi,1,BR,1595626241,77,-3.28,-39.27,77.68,11.63
37,Owando,43,CG,1595626242,72,-0.48,15.9,75.69,3.02
38,Lavrentiya,99,RU,1595626242,69,65.58,-171,48.42,5.14
39,Esperance,0,AU,1595626242,87,-33.87,121.9,44.6,11.41
40,Nikolskoye,20,RU,1595626242,81,59.7,30.79,54,6.71
41,Klyuchi,2,RU,1595626242,95,52.27,79.17,59.65,3.02
42,George Town,20,MY,1595626172,94,5.41,100.34,77,4.7
43,Hithadhoo,100,MV,1595626039,71,-0.6,73.08,81.77,3.65
44,Dubbo,90,AU,1595626104,93,-32.25,148.62,51.8,11.41
45,Bethel,1,US,1595626232,57,41.37,-73.41,82,2.55
46,Taketa,99,JP,1595626243,90,32.97,131.38,66.99,5.82
47,Keflavik,20,IS,1595626243,70,64,-22.56,48.2,21.92
48,Tiksi,20,RU,1595626052,65,71.69,128.87,62.82,8.23
49,Abay,40,KZ,1595626243,82,49.63,72.85,59,4.47
50,São Félix do Xingu,84,BR,1595626075,49,-6.64,-51.99,84.33,1.19
51,Coquimbo,0,CL,1595626243,67,-29.95,-71.34,57.2,12.75
52,Vanimo,92,PG,1595626243,79,-2.67,141.3,79.63,5.48
53,Punta Arenas,20,CL,1595626244,74,-53.15,-70.92,37.4,11.41
54,Hobart,100,AU,1595626203,86,-42.88,147.33,43,9.17
55,Faya,75,SA,1595626244,63,18.39,42.45,69.8,9.17
56,Mataura,95,NZ,1595626244,88,-46.19,168.86,44.83,5.7
57,Qaanaaq,0,GL,1595626244,52,77.48,-69.36,49.42,2.95
58,Doka,86,SD,1595626244,88,13.52,35.77,72.99,10.67
59,Tuktoyaktuk,75,CA,1595626244,67,69.45,-133.04,62.6,6.93
60,Vaini,75,TO,1595626244,94,-21.2,-175.2,73.4,9.17
61,Isangel,26,VU,1595626244,83,-19.55,169.27,75.2,9.17
62,Tessalit,89,ML,1595626244,32,20.2,1.01,91.54,18.28
63,Rome,1,US,1595626205,48,43.21,-75.46,84.99,6.93
64,Santa Helena de Goiás,49,BR,1595626245,30,-17.81,-50.6,73.92,2.73
65,Bereket,4,TM,1595626245,25,39.24,55.52,91.27,7.61
66,New Norfolk,100,AU,1595626245,83,-42.78,147.06,42.01,2.91
67,Idukki,100,IN,1595626245,90,9.85,76.97,68.56,2.08
68,Eenhana,0,NA,1595626245,41,-17.47,16.33,59,3.36
69,Yanam,100,IN,1595626245,87,16.73,82.22,78.62,1.81
70,Taunggyi,68,MM,1595626245,100,20.78,97.03,64.78,1.45
71,Ahipara,29,NZ,1595626246,63,-35.17,173.17,54.99,9.42
72,Dikson,88,RU,1595626246,97,73.51,80.55,42.67,11.99
73,Lewisporte,75,CA,1595626246,82,49.25,-55.05,68,3.36
74,Yellowknife,75,CA,1595626204,72,62.46,-114.35,59,6.93
75,Barrow,90,US,1595626054,80,71.29,-156.79,35.6,16.11
76,Dosso,91,NE,1595626246,66,13.05,3.19,80.58,9.48
77,Bintulu,20,MY,1595626246,94,3.17,113.03,75.2,3.36
78,Lagoa,0,PT,1595626091,76,39.05,-27.98,70.03,10.98
79,Morondava,0,MG,1595626246,53,-20.28,44.28,69.94,14.36
80,Mountain Home,1,US,1595626246,25,43.13,-115.69,86,8.25
81,Salalah,75,OM,1595626246,94,17.02,54.09,78.8,8.05
82,Bambous Virieux,75,MU,1595626246,56,-20.34,57.76,68,16.11
83,Huangpi,75,CN,1595626247,88,30.88,114.38,73.4,4.47
84,Matara,94,LK,1595626247,89,5.95,80.54,78.04,7.7
85,Ayabaca,77,PE,1595626247,76,-4.64,-79.71,60.69,5.41
86,Thompson,90,CA,1595626247,94,55.74,-97.86,69.8,4.7
87,Havre-St-Pierre,75,CA,1595626247,72,50.23,-63.6,66.2,19.46
88,Ibicaraí,40,BR,1595626247,73,-14.87,-39.59,77,10.29
89,Sorong,88,ID,1595626247,89,-0.88,131.25,77.58,11.77
90,Cape Town,0,ZA,1595626248,50,-33.93,18.42,57.2,2.24
91,Ponta do Sol,0,PT,1595626248,61,32.67,-17.1,71.01,3.94
92,Mar del Plata,75,AR,1595626041,75,-38,-57.56,44.01,20.8
93,Trincomalee,99,LK,1595626248,75,8.57,81.23,80.47,15.19
94,Port Alfred,0,ZA,1595626248,28,-33.59,26.89,67.82,8.93
95,Mersing,59,MY,1595626248,94,2.43,103.84,75.2,5.82
96,Sept-Îles,75,CA,1595626248,47,50.2,-66.38,77,12.75
97,Narsaq,97,GL,1595626056,71,60.92,-46.05,55.4,9.17
98,East London,0,ZA,1595626248,28,-33.02,27.91,64.42,5.55
99,Leeuwarden,90,NL,1595626041,87,53.2,5.81,61,4.7
100,Chimoio,75,MZ,1595626248,100,-19.12,33.48,57,4.79
101,Okhotsk,2,RU,1595626249,68,59.38,143.3,59.25,5.37
102,Botwood,75,CA,1595626249,82,49.15,-55.35,68,3.36
103,Upernavik,44,GL,1595626039,78,72.79,-56.15,46.62,3.38
104,Stornoway,100,GB,1595626249,88,58.21,-6.39,55.99,8.93
105,Butaritari,24,KI,1595626249,80,3.07,172.79,81.99,16.64
106,Oussouye,100,SN,1595626249,83,12.48,-16.55,82.4,9.17
107,Najrān,100,SA,1595626249,24,17.49,44.13,89.6,5.82
108,Ayan,3,RU,1595626249,73,56.45,138.17,54.81,1.12
109,Pyapon,56,MM,1595626249,86,16.28,95.68,80.02,5.37
110,Bredasdorp,0,ZA,1595626250,87,-34.53,20.04,48.2,6.93
111,Kisi,83,NG,1595626250,90,9.08,3.85,73.67,8.86
112,Tadine,81,NC,1595626250,80,-21.55,167.88,72.46,17.18
113,Beringovskiy,84,RU,1595626250,66,63.05,179.32,54.41,7.07
114,Nuuk,75,GL,1595626250,71,64.18,-51.72,55.4,4.7
115,Ergani,0,TR,1595626251,31,38.27,39.76,82.4,6.93
116,Pauini,72,BR,1595626251,54,-7.71,-66.98,85.62,0.83
117,Jamestown,75,US,1595626250,78,42.1,-79.24,79,8.05
118,Klaksvík,100,FO,1595626090,93,62.23,-6.59,51.8,5.82
119,Vangaindrano,42,MG,1595626251,81,-23.35,47.6,62.51,7.02
120,Fort Nelson,75,CA,1595626252,53,58.81,-122.7,71.6,9.17
121,Springfield,75,US,1595626200,52,37.22,-93.3,93,6.93
122,Taoudenni,0,ML,1595626252,8,22.68,-3.98,104.99,16.69
123,Mortka,64,RU,1595626252,76,59.33,66.02,51.49,3.8
124,Manzhouli,100,CN,1595626252,85,49.6,117.43,66.6,5.64
125,Shestakovo,0,RU,1595626253,83,56.49,103.96,48.94,2.51
126,Salinópolis,85,BR,1595626253,81,-0.61,-47.36,80.31,12.64
127,Bluff,100,NZ,1595626253,82,-46.6,168.33,50.27,16.4
128,Jales,0,BR,1595625960,32,-20.27,-50.55,74.89,5.84
129,Cravo Norte,93,CO,1595626254,90,6.3,-70.2,75.2,8.43
130,Verkhnyaya Inta,8,RU,1595626254,66,65.98,60.31,55.54,12.03
131,Naze,75,JP,1595626254,94,28.37,129.48,82.4,11.41
132,La Rioja,1,ES,1595625964,64,42.25,-2.5,68,5.82
133,Beloha,0,MG,1595626254,77,-25.17,45.05,59.29,11.21
134,Castro,0,BR,1595626081,71,-24.79,-50.01,61.72,5.35
135,Puerto Ayora,75,EC,1595626254,65,-0.74,-90.35,77,18.34
136,Ribeira Grande,40,PT,1595626254,73,38.52,-28.7,71.6,8.05
137,Tsnori,40,GE,1595626254,69,41.62,45.97,75.2,6.93
138,Lyskovo,6,RU,1595626255,96,56.03,45.04,61,4.29
139,Saint-Philippe,90,RE,1595626255,63,-21.36,55.77,66.2,11.41
140,Chokurdakh,8,RU,1595626056,58,70.63,147.92,71.1,6.96
141,Ende,63,ID,1595626255,76,-8.84,121.66,70.74,3.51
142,Charters Towers,0,AU,1595626255,86,-20.1,146.27,60.24,4.94
143,Hong Kong,100,HK,1595626050,79,22.29,114.16,84,8.99
144,Acapulco de Juárez,40,MX,1595626235,66,16.86,-99.89,87.8,8.05
145,Iquique,2,CL,1595626255,63,-20.22,-70.14,60.8,14.99
146,Nefteyugansk,94,RU,1595626255,81,61.1,72.6,51.8,6.71
147,Nome,90,US,1595626256,76,64.5,-165.41,54,4.7
148,Williston,96,US,1595626203,49,48.15,-103.62,87.01,4
149,Manaure,75,CO,1595626058,70,11.78,-72.44,87.8,13.87
150,Labuhan,100,ID,1595626256,81,-6.88,112.21,72.99,10.63
151,Mossamedes,0,AO,1595626256,85,-15.2,12.15,67.1,7.05
152,Tongliao,100,CN,1595626256,51,43.61,122.27,76.73,4.25
153,Codrington,21,AU,1595626256,87,-38.27,141.97,40.6,4.56
154,Auki,20,SB,1595626256,74,-8.77,160.7,83.35,7.23
155,Lebu,93,CL,1595626070,77,-37.62,-73.65,49.5,10.02
156,Khatanga,99,RU,1595626257,90,71.97,102.5,40.87,12.24
157,Areni,75,AM,1595626257,41,39.72,45.18,78.8,11.41
158,Pacific Grove,75,US,1595626158,68,36.62,-121.92,64.4,11.41
159,Xining,98,CN,1595626257,81,36.62,101.77,55.98,1.19
160,Caravelas,6,BR,1595626257,79,-17.71,-39.25,69.64,5.41
161,Manta,20,EC,1595626257,83,-0.95,-80.73,73.4,13.87
162,Shirokiy,53,RU,1595626091,95,49.76,129.52,63.12,9.78
163,Roald,20,NO,1595626257,81,62.58,6.13,51.8,13.87
164,Airai,56,TL,1595626134,81,-8.93,125.41,51.84,2.93
165,Arlit,61,NE,1595626257,44,18.74,7.39,87.98,14.65
166,Vuktyl,11,RU,1595626257,61,63.86,57.31,55.63,6.58
167,Bengkulu,95,ID,1595626258,89,-3.8,102.27,74.32,4.21
168,Lora del Río,0,ES,1595626258,38,37.66,-5.53,88,6.93
169,Lhokseumawe,99,ID,1595626068,85,5.18,97.15,76.53,5.19
170,Bosobolo,53,CD,1595626258,94,4.18,19.9,70.43,2.48
171,Natchitoches,90,US,1595626258,78,31.77,-93.13,82.4,3.36
172,Razdolinsk,0,RU,1595626258,97,58.42,94.67,46.38,0.81
173,Camacha,40,PT,1595626258,77,33.08,-16.33,69.8,11.41
174,Linhares,72,BR,1595626104,81,-19.39,-40.07,69.08,4.18
175,San Vicente,73,AR,1595626258,72,-26.62,-54.13,65.34,1.45
176,Gushikawa,40,JP,1595626258,88,26.35,127.87,82.4,5.82
177,Ribas do Rio Pardo,0,BR,1595626258,33,-20.44,-53.76,75.31,2.82
178,Alyangula,0,AU,1595626259,93,-13.85,136.42,62.6,3.36
179,Santa Marta,90,CO,1595626115,83,11.24,-74.2,84.2,2.24
180,Mokhsogollokh,99,RU,1595626069,79,61.47,128.92,66.74,2.71
181,San Matías,57,BO,1595626259,32,-16.37,-58.4,87.64,1.1
182,Tsiroanomandidy,0,MG,1595626259,63,-18.77,46.03,54.52,6.89
183,Yavatmal,99,IN,1595626259,86,20.4,78.13,77.11,5.3
184,Fairbanks,90,US,1595626201,63,64.84,-147.72,64.4,9.17
185,Stulovo,47,RU,1595626259,98,58.72,50.14,54.19,1.99
186,San Cristobal,40,VE,1595626047,46,7.77,-72.22,89.6,16.11
187,Shiringushi,12,RU,1595626259,84,53.85,42.77,52.32,2.89
188,Hammerfest,40,NO,1595626259,77,70.66,23.68,62.6,13.87
189,Saint Anthony,40,US,1595626042,52,45.02,-93.22,91.99,11.41
190,Vardø,10,NO,1595626260,87,70.37,31.11,60.8,19.46
191,Itarema,16,BR,1595626260,75,-2.92,-39.92,78.33,15.77
192,Dingle,100,PH,1595626260,86,11,122.67,76.6,1.59
193,Samoded,70,RU,1595626260,94,63.61,40.51,51.12,2.42
194,Beyneu,0,KZ,1595626260,42,45.32,55.2,76.86,7.76
195,Arraial do Cabo,0,BR,1595626260,73,-22.97,-42.03,75.2,13.87
196,Marystown,80,CA,1595626261,93,47.17,-55.15,62.15,3.06
197,Grindavik,20,IS,1595626261,70,63.84,-22.43,46.4,21.92
198,Esim,67,GH,1595626261,86,4.87,-2.24,75.56,9.46
199,Batagay-Alyta,27,RU,1595626035,48,67.8,130.41,69.76,2.84
200,Kungurtug,65,RU,1595626261,75,50.6,97.52,49.51,0.98
201,Alofi,75,NU,1595626261,78,-19.06,-169.92,77,17.22
202,Chara,9,RU,1595626261,74,56.91,118.26,60.69,2.04
203,Padang,99,ID,1595626034,79,-0.95,100.35,77.67,5.53
204,Concordia,75,AR,1595626262,93,-31.39,-58.02,46.4,1.14
205,Mionica,20,BA,1595626262,93,44.87,18.46,71.01,3.36
206,São Filipe,31,CV,1595626262,80,14.9,-24.5,77.05,3.96
207,Trofors,40,NO,1595626262,93,65.53,13.41,51.8,4.7
208,Teguise,20,ES,1595626262,78,29.06,-13.56,73.4,23.04
209,Te Anau,99,NZ,1595626262,86,-45.42,167.72,44.11,5.39
210,La Ciotat,6,FR,1595626262,66,43.17,5.6,73.99,1.99
211,Andilamena,76,MG,1595626262,88,-17.02,48.58,52.36,15.05
212,Shar,0,KZ,1595626263,69,49.59,81.05,68.29,10.58
213,Chui,100,UY,1595626263,90,-33.7,-53.46,47.98,6.44
214,Naviraí,0,BR,1595626110,43,-23.07,-54.19,76.77,5.55
215,Caluquembe,0,AO,1595626263,49,-13.78,14.68,50.52,1.48
216,Nyagan,59,RU,1595626263,78,62.14,65.39,49.59,3.85
217,Mercedes,0,AR,1595626263,64,-34.65,-59.43,50,1.99
218,Rawson,89,AR,1595626064,56,-43.3,-65.1,44.92,18.39
219,Oneida,1,US,1595626263,48,43.2,-75.47,84.99,6.93
220,Ilulissat,100,GL,1595626049,87,69.22,-51.1,48.2,3.36
221,Gravdal,100,NO,1595626264,87,68.12,13.5,53.6,3.36
222,Victor Harbor,10,AU,1595626264,92,-35.57,138.62,42.01,5.44
223,Yayva,32,RU,1595626264,61,59.33,57.26,53.01,3.53
224,Huilong,0,CN,1595626264,91,31.81,121.66,75,9.64
225,Umluj,2,SA,1595626264,56,25.02,37.27,85.84,8.32
226,Ixtapa,40,MX,1595626059,74,20.7,-105.2,86,12.75
227,San Patricio,75,MX,1595626264,74,19.22,-104.7,86,11.41
228,Kulebaki,24,RU,1595626264,93,55.41,42.53,51.08,2.8
229,Bathsheba,40,BB,1595626264,74,13.22,-59.52,84.2,19.46
230,Turinskaya Sloboda,5,RU,1595626265,85,57.62,64.39,53.15,3.56
231,Petropavlovsk-Kamchatskiy,90,RU,1595626265,100,53.05,158.65,53.6,2.24
232,Matagami,40,CA,1595626265,36,49.75,-77.63,80.6,5.82
233,Togur,49,RU,1595626265,90,58.36,82.83,52.63,3.02
234,Port Said,20,EG,1595626265,83,31.26,32.28,80.6,10.29
235,Hailar,79,CN,1595626265,78,49.2,119.7,69.73,6.02
236,Pangnirtung,90,CA,1595626265,81,66.15,-65.71,50,5.82
237,Ostrovnoy,25,RU,1595626265,90,68.05,39.51,58.28,9.48
238,Geraldton,0,AU,1595626265,70,-28.77,114.6,46.4,18.34
239,Saskylakh,100,RU,1595626266,88,71.92,114.08,45.34,9.13
240,Biak,30,ID,1595626266,81,-0.91,122.88,75.79,6.93
241,Tilichiki,0,RU,1595626266,55,60.47,166.1,62.62,4.36
242,Nouakchott,0,MR,1595626266,83,18.09,-15.98,82.4,14.99
243,Oodweyne,6,SO,1595626266,60,9.41,45.06,71.24,15.05
244,Jumla,70,NP,1595626266,71,29.27,82.18,61.11,0.89
245,Santa Cruz de la Sierra,75,BO,1595626234,82,-17.8,-63.17,59,4.7
246,Mīrābād,0,AF,1595626266,27,30.44,61.84,85.77,14.03
247,Severo-Kuril'sk,100,RU,1595626266,82,50.68,156.12,50.92,6.87
248,Camocim,37,BR,1595626266,71,-2.9,-40.84,79.57,15.43
249,Port Hawkesbury,1,CA,1595626266,77,45.62,-61.35,73,8.05
250,Govindgarh,63,IN,1595626266,57,27.5,76.98,87.93,6.49
251,Redding,1,US,1595626089,22,40.59,-122.39,102,3.36
252,Safi,0,MA,1595626267,82,32.3,-9.24,72.48,16.84
253,Broken Hill,40,AU,1595626267,71,-31.95,141.43,50,11.41
254,Marrakesh,0,MA,1595626065,38,31.63,-8.01,87.8,12.75
255,Buala,68,SB,1595626267,76,-8.14,159.59,83.84,10.92
256,Teya,71,RU,1595626267,91,60.38,92.63,48.18,3.18
257,Palu,90,ID,1595626267,81,-0.89,119.87,73.85,2.84
258,Katsuura,96,JP,1595626267,94,35.13,140.3,78.01,10.11
259,St. George's,20,GD,1595626249,79,12.06,-61.75,84.2,4.7
260,Dubai,0,AE,1595626203,71,25.26,55.3,93.2,10.29
261,Port Hedland,0,AU,1595626268,43,-20.32,118.57,55.4,10.29
262,Diego de Almagro,0,CL,1595626268,36,-26.37,-70.05,52.65,7.76
263,Poum,13,NC,1595626083,83,-20.23,164.02,73.9,14.61
264,Kirakira,29,SB,1595626268,78,-10.45,161.92,82.85,13.58
265,Nkowakowa,11,ZA,1595626268,61,-23.89,30.29,46.4,8.05
266,Charter Township of Clinton,40,US,1595626107,54,42.59,-82.92,86,8.05
267,Valparaíso,0,CL,1595626191,54,-33.04,-71.63,60.8,5.82
268,Kasongo-Lunda,80,CD,1595626268,31,-6.47,16.82,69.96,0.87
269,São João da Barra,0,BR,1595626065,78,-21.64,-41.05,73.4,11.41
270,Pemba,18,MZ,1595626269,70,-12.97,40.52,72.1,14.67
271,Kathmandu,75,NP,1595626269,100,27.72,85.32,69.8,2.24
272,Bilma,1,NE,1595626269,16,18.69,12.92,86.52,2.15
273,Machalí,1,CL,1595626269,47,-34.18,-70.67,57.2,5.82
274,Cabo San Lucas,5,MX,1595626115,58,22.89,-109.91,93,11.41
275,Vao,93,NC,1595626269,81,-22.67,167.48,71.19,19.82
276,Cap Malheureux,26,MU,1595626269,50,-19.98,57.61,68,8.99
277,Sawākin,81,SD,1595626269,53,19.11,37.33,89.53,4.27
278,Da Lat,99,VN,1595626024,100,11.95,108.44,59.58,0.09
